,Pais,Sede,RedSocial,url
61,canada,CTORO,Instagram, https://www.instagram.com/consuladoargtoronto/ 
62,canada,ECANA,Facebook,https://www.facebook.com/ArgentinaInCanada 
63,canada,ECANA,Instagram, https://www.instagram.com/argentinaincanada/ 
64,canada,ECANA,Linkedin, https://www.linkedin.com/company/argentinaincanada 
65,canada,ECANA,Twitter, https://twitter.com/ArginCanada 
66,canada,ECANA,Youtube, https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A 
67,chile,CANTO,Facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/ 
68,chile,CAREN,Facebook,https://www.facebook.com/profile.php?id=100014152878593 
69,chile,CPMON,Facebook,https://www.facebook.com/ArgentinaEnPuertoMontt/ 
70,chile,CVALP,Facebook,https://www.facebook.com/ArgentinaEnValparaiso 
71,chile,EHILE,Facebook, https://www.facebook.com/EmbArgentinaEnChile 
72,chile,EHILE,Instagram, https://www.instagram.com/embargenchile/ 
73,chile,EHILE,Twitter,https://twitter.com/EmbArgEnChile 
74,ciudad del vaticano,ESSED,Facebook, https://www.facebook.com/ArgEnSantaSede 
75,ciudad del vaticano,ESSED,Instagram, https://www.instagram.com/argensantasede/ 
76,ciudad del vaticano,ESSED,Twitter,https://twitter.com/ArgSantaSede 
77,ciudad del vaticano,ESSED,Youtube, https://www.youtube.com/c/EmbajadaArgentinaantelaSantaSede 
78,colombia,ECOLO,Facebook, https://www.facebook.com/ArgColombia/?ref=bookmarks 
79,corea del sur,ECORE,Facebook,https://www.facebook.com/ArgentinaEnCorea/ 
80,corea del sur,ECORE,Instagram, https://www.instagram.com/embajadaargentinaencorea1/?hl=es 
81,costa rica,ERICA,Facebook,https://www.facebook.com/argentinaencostarica/ 
82,cuba,ECUBA,Facebook,https://www.facebook.com/ArgentinaEnCubaLaHabana/ 
83,dinamarca,EDINA,Facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/ 
84,ecuador,EECUA,Facebook,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks 
85,ecuador,EECUA,Instagram, https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh 
86,ecuador,EECUA,Youtube, https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng 
87,egipto,EEGIP,Facebook, facebook.com/ArgentinaenEgipto 
88,egipto,EEGIP,Instagram,instagram.com/argenegipto/ 
89,egipto,EEGIP,Twitter, twitter.com/ARGenEgipto 
90,el salvador,ESALV,Facebook, https://www.facebook.com/ArgentinaEnElSalvador/ 
91,el salvador,ESALV,Instagram, https://www.instagram.com/embargenelsalvador/ 
92,el salvador,ESALV,Twitter,https://twitter.com/ARGenElSalvador 
93,emiratos arabes unidos,EEARB,Facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos 
94,españa,CBARC,Facebook,facebook.com/ArgEnBarcelona 
95,españa,CBARC,Instagram, instagram.com/argenbarcelona 
96,españa,CBARC,Linkedin, linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/ 
97,españa,CBARC,Twitter, twitter.com/ARGenBarcelona 
98,españa,CCADI,Facebook,www.facebook.com/ArgentinaEnCadiz 
99,españa,CMADR,Facebook,https://www.facebook.com/ArgentinaEnMadridEsp/ 
100,españa,CMALL,Facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca 
101,españa,CTENE,Facebook,www.facebook.com/argentinaentenerife 
102,españa,CVIGO,Facebook,facebook.com/ArgentinaenVigo 
103,españa,CVIGO,Instagram, https://www.instagram.com/argenvigo/ 
104,españa,EESPA,Facebook, https://www.facebook.com/argenespa/ 
